[01/500] train loss=0.211499, nmse(dB)=-2.0680 | val loss=0.046383, nmse(dB)=-7.7942 | 14.1s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@1: val loss=0.046383, val nmse(dB)=-7.7942
[02/500] train loss=0.030442, nmse(dB)=-10.0858 | val loss=0.017336, nmse(dB)=-13.1798 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@2: val loss=0.017336, val nmse(dB)=-13.1798
[03/500] train loss=0.019944, nmse(dB)=-12.2413 | val loss=0.016270, nmse(dB)=-13.7433 | 13.1s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@3: val loss=0.016270, val nmse(dB)=-13.7433
[04/500] train loss=0.018655, nmse(dB)=-12.6757 | val loss=0.016232, nmse(dB)=-13.7701 | 13.6s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@4: val loss=0.016232, val nmse(dB)=-13.7701
[05/500] train loss=0.018039, nmse(dB)=-12.9173 | val loss=0.016240, nmse(dB)=-13.7650 | 13.6s
[06/500] train loss=0.017576, nmse(dB)=-13.1096 | val loss=0.016232, nmse(dB)=-13.7674 | 13.3s
[07/500] train loss=0.017235, nmse(dB)=-13.2611 | val loss=0.016216, nmse(dB)=-13.7796 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@7: val loss=0.016216, val nmse(dB)=-13.7796
[08/500] train loss=0.017008, nmse(dB)=-13.3737 | val loss=0.016206, nmse(dB)=-13.7842 | 13.3s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@8: val loss=0.016206, val nmse(dB)=-13.7842
[09/500] train loss=0.016809, nmse(dB)=-13.4691 | val loss=0.016218, nmse(dB)=-13.7790 | 13.1s
[10/500] train loss=0.016680, nmse(dB)=-13.5437 | val loss=0.016216, nmse(dB)=-13.7815 | 13.1s
[11/500] train loss=0.016610, nmse(dB)=-13.6000 | val loss=0.016233, nmse(dB)=-13.7674 | 13.2s
[12/500] train loss=0.016524, nmse(dB)=-13.6419 | val loss=0.016207, nmse(dB)=-13.7850 | 13.6s
[13/500] train loss=0.016421, nmse(dB)=-13.6877 | val loss=0.016204, nmse(dB)=-13.7854 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@13: val loss=0.016204, val nmse(dB)=-13.7854
[14/500] train loss=0.016356, nmse(dB)=-13.7178 | val loss=0.016196, nmse(dB)=-13.7928 | 13.3s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@14: val loss=0.016196, val nmse(dB)=-13.7928
[15/500] train loss=0.016313, nmse(dB)=-13.7503 | val loss=0.016268, nmse(dB)=-13.7471 | 13.4s
[16/500] train loss=0.016261, nmse(dB)=-13.7728 | val loss=0.016190, nmse(dB)=-13.7916 | 13.5s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@16: val loss=0.016190, val nmse(dB)=-13.7916
[17/500] train loss=0.016256, nmse(dB)=-13.7923 | val loss=0.016200, nmse(dB)=-13.7898 | 13.4s
[18/500] train loss=0.016225, nmse(dB)=-13.8054 | val loss=0.016207, nmse(dB)=-13.7864 | 13.4s
[19/500] train loss=0.016221, nmse(dB)=-13.8152 | val loss=0.016229, nmse(dB)=-13.7717 | 13.3s
[20/500] train loss=0.016162, nmse(dB)=-13.8288 | val loss=0.016211, nmse(dB)=-13.7850 | 14.0s
[21/500] train loss=0.016196, nmse(dB)=-13.8304 | val loss=0.016184, nmse(dB)=-13.8002 | 13.5s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@21: val loss=0.016184, val nmse(dB)=-13.8002
[22/500] train loss=0.016124, nmse(dB)=-13.8527 | val loss=0.016224, nmse(dB)=-13.7721 | 13.4s
[23/500] train loss=0.016149, nmse(dB)=-13.8458 | val loss=0.016187, nmse(dB)=-13.7932 | 13.2s
[24/500] train loss=0.016120, nmse(dB)=-13.8611 | val loss=0.016249, nmse(dB)=-13.7595 | 13.2s
[25/500] train loss=0.016104, nmse(dB)=-13.8735 | val loss=0.016182, nmse(dB)=-13.8025 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@25: val loss=0.016182, val nmse(dB)=-13.8025
[26/500] train loss=0.016114, nmse(dB)=-13.8732 | val loss=0.016201, nmse(dB)=-13.7870 | 13.2s
[27/500] train loss=0.016111, nmse(dB)=-13.8711 | val loss=0.016235, nmse(dB)=-13.7701 | 13.2s
[28/500] train loss=0.016090, nmse(dB)=-13.8783 | val loss=0.016219, nmse(dB)=-13.7802 | 13.2s
[29/500] train loss=0.016100, nmse(dB)=-13.8728 | val loss=0.016215, nmse(dB)=-13.7820 | 13.2s
[30/500] train loss=0.016140, nmse(dB)=-13.8706 | val loss=0.016215, nmse(dB)=-13.7808 | 13.3s
[31/500] train loss=0.016078, nmse(dB)=-13.8927 | val loss=0.016210, nmse(dB)=-13.7788 | 13.1s
[32/500] train loss=0.016080, nmse(dB)=-13.8888 | val loss=0.016208, nmse(dB)=-13.7930 | 13.2s
[33/500] train loss=0.016099, nmse(dB)=-13.8881 | val loss=0.016233, nmse(dB)=-13.7731 | 13.5s
[34/500] train loss=0.016075, nmse(dB)=-13.8941 | val loss=0.016236, nmse(dB)=-13.7727 | 13.2s
[35/500] train loss=0.016092, nmse(dB)=-13.8930 | val loss=0.016184, nmse(dB)=-13.7963 | 13.1s
[36/500] train loss=0.016108, nmse(dB)=-13.8879 | val loss=0.016225, nmse(dB)=-13.7731 | 13.5s
[37/500] train loss=0.016077, nmse(dB)=-13.8899 | val loss=0.016246, nmse(dB)=-13.7685 | 13.7s
