=== LSTM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.051577 nmse=-7.1963dB | val loss=0.017266 nmse=-11.9985dB | 1.1s
  -> saved case1_lstm_scene1000_best.pt | best@1: val nmse=-11.9985dB
[002/200] train loss=0.016671 nmse=-12.1105dB | val loss=0.017250 nmse=-12.0023dB | 0.9s
  -> saved case1_lstm_scene1000_best.pt | best@2: val nmse=-12.0023dB
[003/200] train loss=0.016651 nmse=-12.1139dB | val loss=0.017236 nmse=-12.0059dB | 0.8s
  -> saved case1_lstm_scene1000_best.pt | best@3: val nmse=-12.0059dB
[004/200] train loss=0.016643 nmse=-12.1152dB | val loss=0.017238 nmse=-12.0062dB | 0.9s
[005/200] train loss=0.016627 nmse=-12.1201dB | val loss=0.017261 nmse=-12.0002dB | 1.0s
[006/200] train loss=0.016614 nmse=-12.1230dB | val loss=0.017257 nmse=-12.0000dB | 0.8s
[007/200] train loss=0.016613 nmse=-12.1249dB | val loss=0.017265 nmse=-11.9974dB | 0.8s
[008/200] train loss=0.016591 nmse=-12.1298dB | val loss=0.017233 nmse=-12.0067dB | 0.9s
  -> saved case1_lstm_scene1000_best.pt | best@8: val nmse=-12.0067dB
[009/200] train loss=0.016586 nmse=-12.1320dB | val loss=0.017259 nmse=-12.0000dB | 0.9s
[010/200] train loss=0.016574 nmse=-12.1351dB | val loss=0.017241 nmse=-12.0049dB | 0.9s
[011/200] train loss=0.016563 nmse=-12.1380dB | val loss=0.017262 nmse=-11.9994dB | 0.8s
[012/200] train loss=0.016536 nmse=-12.1437dB | val loss=0.017242 nmse=-12.0047dB | 0.8s
[013/200] train loss=0.016532 nmse=-12.1469dB | val loss=0.017345 nmse=-11.9803dB | 0.8s
[014/200] train loss=0.016487 nmse=-12.1575dB | val loss=0.017305 nmse=-11.9886dB | 0.9s
[015/200] train loss=0.016466 nmse=-12.1651dB | val loss=0.017354 nmse=-11.9761dB | 0.8s
[016/200] train loss=0.016424 nmse=-12.1728dB | val loss=0.017409 nmse=-11.9613dB | 0.8s
[017/200] train loss=0.016380 nmse=-12.1845dB | val loss=0.017288 nmse=-11.9923dB | 0.8s
[018/200] train loss=0.016333 nmse=-12.1963dB | val loss=0.017417 nmse=-11.9628dB | 0.9s
[019/200] train loss=0.016306 nmse=-12.2041dB | val loss=0.017367 nmse=-11.9740dB | 1.0s
[020/200] train loss=0.016268 nmse=-12.2163dB | val loss=0.017397 nmse=-11.9653dB | 0.8s
[021/200] train loss=0.016222 nmse=-12.2273dB | val loss=0.017552 nmse=-11.9275dB | 0.9s
[022/200] train loss=0.016178 nmse=-12.2375dB | val loss=0.017459 nmse=-11.9494dB | 0.9s
[023/200] train loss=0.016108 nmse=-12.2598dB | val loss=0.017671 nmse=-11.9004dB | 0.9s
[024/200] train loss=0.016039 nmse=-12.2758dB | val loss=0.017509 nmse=-11.9360dB | 0.8s
[025/200] train loss=0.015992 nmse=-12.2903dB | val loss=0.017574 nmse=-11.9224dB | 0.9s
[026/200] train loss=0.015897 nmse=-12.3155dB | val loss=0.017710 nmse=-11.8865dB | 0.8s
[027/200] train loss=0.015817 nmse=-12.3370dB | val loss=0.017710 nmse=-11.8918dB | 1.0s
[028/200] train loss=0.015737 nmse=-12.3584dB | val loss=0.017868 nmse=-11.8498dB | 1.0s
[029/200] train loss=0.015665 nmse=-12.3803dB | val loss=0.017772 nmse=-11.8715dB | 0.8s
[030/200] train loss=0.015583 nmse=-12.4045dB | val loss=0.017895 nmse=-11.8415dB | 1.0s
[031/200] train loss=0.015512 nmse=-12.4215dB | val loss=0.017886 nmse=-11.8477dB | 1.0s
[032/200] train loss=0.015448 nmse=-12.4398dB | val loss=0.017928 nmse=-11.8364dB | 1.0s
[033/200] train loss=0.015362 nmse=-12.4656dB | val loss=0.018001 nmse=-11.8215dB | 0.8s
[034/200] train loss=0.015288 nmse=-12.4853dB | val loss=0.018252 nmse=-11.7688dB | 0.8s
[035/200] train loss=0.015203 nmse=-12.5079dB | val loss=0.018153 nmse=-11.7823dB | 0.8s
[036/200] train loss=0.015114 nmse=-12.5358dB | val loss=0.018242 nmse=-11.7584dB | 0.8s
[037/200] train loss=0.015009 nmse=-12.5654dB | val loss=0.018344 nmse=-11.7343dB | 0.9s
[038/200] train loss=0.014935 nmse=-12.5871dB | val loss=0.018219 nmse=-11.7659dB | 0.8s
[039/200] train loss=0.014850 nmse=-12.6112dB | val loss=0.018364 nmse=-11.7292dB | 0.8s
[040/200] train loss=0.014726 nmse=-12.6474dB | val loss=0.018650 nmse=-11.6626dB | 0.8s
[041/200] train loss=0.014630 nmse=-12.6755dB | val loss=0.018610 nmse=-11.6757dB | 0.8s
[042/200] train loss=0.014526 nmse=-12.7066dB | val loss=0.018652 nmse=-11.6622dB | 0.9s
[043/200] train loss=0.014413 nmse=-12.7406dB | val loss=0.018397 nmse=-11.7197dB | 0.8s
[044/200] train loss=0.014303 nmse=-12.7751dB | val loss=0.018857 nmse=-11.6213dB | 0.8s
[045/200] train loss=0.014185 nmse=-12.8108dB | val loss=0.019276 nmse=-11.5230dB | 0.9s
[046/200] train loss=0.014062 nmse=-12.8488dB | val loss=0.018895 nmse=-11.6068dB | 0.9s
[047/200] train loss=0.013943 nmse=-12.8848dB | val loss=0.019212 nmse=-11.5351dB | 0.8s
[048/200] train loss=0.013836 nmse=-12.9189dB | val loss=0.018995 nmse=-11.5827dB | 0.8s
[049/200] train loss=0.013659 nmse=-12.9750dB | val loss=0.019256 nmse=-11.5249dB | 0.9s
[050/200] train loss=0.013509 nmse=-13.0222dB | val loss=0.020052 nmse=-11.3520dB | 0.8s
[051/200] train loss=0.013363 nmse=-13.0686dB | val loss=0.019807 nmse=-11.4042dB | 0.9s
[052/200] train loss=0.013215 nmse=-13.1173dB | val loss=0.019703 nmse=-11.4228dB | 0.8s
[053/200] train loss=0.013072 nmse=-13.1652dB | val loss=0.019512 nmse=-11.4695dB | 0.8s
[054/200] train loss=0.012913 nmse=-13.2178dB | val loss=0.019834 nmse=-11.4004dB | 0.8s
[055/200] train loss=0.012761 nmse=-13.2689dB | val loss=0.019659 nmse=-11.4399dB | 1.0s
[056/200] train loss=0.012629 nmse=-13.3154dB | val loss=0.019729 nmse=-11.4235dB | 0.9s
[057/200] train loss=0.012456 nmse=-13.3747dB | val loss=0.019867 nmse=-11.3909dB | 0.9s
[058/200] train loss=0.012335 nmse=-13.4183dB | val loss=0.019794 nmse=-11.4127dB | 0.9s
[059/200] train loss=0.012147 nmse=-13.4841dB | val loss=0.020125 nmse=-11.3403dB | 0.8s
[060/200] train loss=0.012015 nmse=-13.5315dB | val loss=0.019978 nmse=-11.3715dB | 0.9s
[061/200] train loss=0.011901 nmse=-13.5728dB | val loss=0.019984 nmse=-11.3683dB | 0.8s
[062/200] train loss=0.011761 nmse=-13.6232dB | val loss=0.020205 nmse=-11.3183dB | 0.8s
[063/200] train loss=0.011650 nmse=-13.6653dB | val loss=0.020243 nmse=-11.3171dB | 0.9s
[064/200] train loss=0.011489 nmse=-13.7254dB | val loss=0.020304 nmse=-11.3067dB | 0.8s
[065/200] train loss=0.011375 nmse=-13.7693dB | val loss=0.020638 nmse=-11.2351dB | 0.9s
[066/200] train loss=0.011282 nmse=-13.8048dB | val loss=0.020403 nmse=-11.2830dB | 0.8s
[067/200] train loss=0.011170 nmse=-13.8479dB | val loss=0.020146 nmse=-11.3389dB | 0.8s
[068/200] train loss=0.011056 nmse=-13.8921dB | val loss=0.020483 nmse=-11.2714dB | 0.9s
[069/200] train loss=0.010931 nmse=-13.9419dB | val loss=0.020460 nmse=-11.2799dB | 1.0s
[070/200] train loss=0.010865 nmse=-13.9691dB | val loss=0.020808 nmse=-11.2063dB | 0.9s
[071/200] train loss=0.010761 nmse=-14.0096dB | val loss=0.020678 nmse=-11.2317dB | 0.9s
[072/200] train loss=0.010646 nmse=-14.0570dB | val loss=0.020838 nmse=-11.1992dB | 0.9s
[073/200] train loss=0.010572 nmse=-14.0872dB | val loss=0.020668 nmse=-11.2336dB | 0.8s
[074/200] train loss=0.010486 nmse=-14.1232dB | val loss=0.020907 nmse=-11.1851dB | 0.9s
[075/200] train loss=0.010396 nmse=-14.1586dB | val loss=0.020783 nmse=-11.2122dB | 0.8s
[076/200] train loss=0.010296 nmse=-14.2018dB | val loss=0.020866 nmse=-11.1951dB | 0.8s
[077/200] train loss=0.010234 nmse=-14.2274dB | val loss=0.020950 nmse=-11.1765dB | 0.8s
[078/200] train loss=0.010168 nmse=-14.2560dB | val loss=0.020869 nmse=-11.1966dB | 0.9s
[079/200] train loss=0.010100 nmse=-14.2858dB | val loss=0.020998 nmse=-11.1637dB | 0.8s
[080/200] train loss=0.010014 nmse=-14.3226dB | val loss=0.021048 nmse=-11.1575dB | 0.8s
[081/200] train loss=0.009949 nmse=-14.3511dB | val loss=0.020927 nmse=-11.1811dB | 0.8s
[082/200] train loss=0.009884 nmse=-14.3795dB | val loss=0.021034 nmse=-11.1593dB | 0.8s
[083/200] train loss=0.009801 nmse=-14.4167dB | val loss=0.021105 nmse=-11.1463dB | 1.0s
[084/200] train loss=0.009756 nmse=-14.4362dB | val loss=0.021101 nmse=-11.1470dB | 0.8s
[085/200] train loss=0.009674 nmse=-14.4730dB | val loss=0.021254 nmse=-11.1096dB | 0.8s
[086/200] train loss=0.009593 nmse=-14.5089dB | val loss=0.021215 nmse=-11.1230dB | 0.9s
[087/200] train loss=0.009535 nmse=-14.5354dB | val loss=0.021101 nmse=-11.1471dB | 0.9s
[088/200] train loss=0.009481 nmse=-14.5604dB | val loss=0.021368 nmse=-11.0887dB | 0.9s
[089/200] train loss=0.009407 nmse=-14.5940dB | val loss=0.021366 nmse=-11.0893dB | 0.9s
[090/200] train loss=0.009327 nmse=-14.6310dB | val loss=0.021457 nmse=-11.0718dB | 0.8s
[091/200] train loss=0.009315 nmse=-14.6379dB | val loss=0.021331 nmse=-11.1019dB | 0.8s
[092/200] train loss=0.009223 nmse=-14.6795dB | val loss=0.021450 nmse=-11.0777dB | 1.0s
[093/200] train loss=0.009172 nmse=-14.7038dB | val loss=0.021487 nmse=-11.0678dB | 0.9s
[094/200] train loss=0.009094 nmse=-14.7406dB | val loss=0.021373 nmse=-11.0890dB | 1.0s
[095/200] train loss=0.009057 nmse=-14.7584dB | val loss=0.021499 nmse=-11.0663dB | 0.9s
[096/200] train loss=0.008994 nmse=-14.7893dB | val loss=0.021539 nmse=-11.0553dB | 0.9s
[097/200] train loss=0.008963 nmse=-14.8039dB | val loss=0.021494 nmse=-11.0652dB | 0.9s
[098/200] train loss=0.008891 nmse=-14.8395dB | val loss=0.021621 nmse=-11.0414dB | 0.9s
[099/200] train loss=0.008838 nmse=-14.8654dB | val loss=0.021584 nmse=-11.0463dB | 0.9s
