=== lwm_finetune | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.039505 nmse=-8.3557dB | val loss=0.017505 nmse=-11.9378dB | 5.6s
  -> saved case1_lwm_finetune_scene1000_best.pt | best@1: val nmse=-11.9378dB
[002/200] train loss=0.017040 nmse=-12.0138dB | val loss=0.017369 nmse=-11.9738dB | 5.0s
  -> saved case1_lwm_finetune_scene1000_best.pt | best@2: val nmse=-11.9738dB
[003/200] train loss=0.016772 nmse=-12.0827dB | val loss=0.017287 nmse=-11.9937dB | 5.5s
  -> saved case1_lwm_finetune_scene1000_best.pt | best@3: val nmse=-11.9937dB
[004/200] train loss=0.016675 nmse=-12.1083dB | val loss=0.017274 nmse=-11.9961dB | 5.1s
  -> saved case1_lwm_finetune_scene1000_best.pt | best@4: val nmse=-11.9961dB
[005/200] train loss=0.016637 nmse=-12.1167dB | val loss=0.017306 nmse=-11.9896dB | 5.0s
[006/200] train loss=0.016610 nmse=-12.1254dB | val loss=0.017328 nmse=-11.9825dB | 5.4s
[007/200] train loss=0.016582 nmse=-12.1328dB | val loss=0.017296 nmse=-11.9914dB | 5.0s
[008/200] train loss=0.016551 nmse=-12.1409dB | val loss=0.017305 nmse=-11.9896dB | 4.6s
[009/200] train loss=0.016519 nmse=-12.1494dB | val loss=0.017312 nmse=-11.9874dB | 5.2s
[010/200] train loss=0.016484 nmse=-12.1574dB | val loss=0.017369 nmse=-11.9722dB | 5.4s
[011/200] train loss=0.016449 nmse=-12.1666dB | val loss=0.017360 nmse=-11.9772dB | 5.3s
[012/200] train loss=0.016375 nmse=-12.1855dB | val loss=0.017433 nmse=-11.9590dB | 4.8s
[013/200] train loss=0.016313 nmse=-12.2016dB | val loss=0.017443 nmse=-11.9558dB | 4.9s
[014/200] train loss=0.016243 nmse=-12.2228dB | val loss=0.017408 nmse=-11.9668dB | 4.9s
[015/200] train loss=0.016183 nmse=-12.2386dB | val loss=0.017399 nmse=-11.9669dB | 4.9s
[016/200] train loss=0.016106 nmse=-12.2588dB | val loss=0.017378 nmse=-11.9725dB | 4.5s
[017/200] train loss=0.016032 nmse=-12.2780dB | val loss=0.017374 nmse=-11.9719dB | 4.3s
