=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.041037 nmse=-8.1914dB | val loss=0.017292 nmse=-11.9906dB | 5.6s
  -> saved case1_lwm_fromScratch_scene1000_best.pt | best@1: val nmse=-11.9906dB
[002/200] train loss=0.021676 nmse=-10.9666dB | val loss=0.017304 nmse=-11.9882dB | 5.4s
[003/200] train loss=0.019735 nmse=-11.3776dB | val loss=0.017271 nmse=-11.9950dB | 5.1s
  -> saved case1_lwm_fromScratch_scene1000_best.pt | best@3: val nmse=-11.9950dB
[004/200] train loss=0.018693 nmse=-11.6115dB | val loss=0.017269 nmse=-11.9983dB | 5.6s
  -> saved case1_lwm_fromScratch_scene1000_best.pt | best@4: val nmse=-11.9983dB
[005/200] train loss=0.018057 nmse=-11.7611dB | val loss=0.017258 nmse=-12.0007dB | 5.3s
  -> saved case1_lwm_fromScratch_scene1000_best.pt | best@5: val nmse=-12.0007dB
[006/200] train loss=0.017689 nmse=-11.8527dB | val loss=0.017284 nmse=-11.9948dB | 5.3s
[007/200] train loss=0.017444 nmse=-11.9126dB | val loss=0.017290 nmse=-11.9927dB | 5.5s
[008/200] train loss=0.017270 nmse=-11.9560dB | val loss=0.017214 nmse=-12.0100dB | 5.0s
  -> saved case1_lwm_fromScratch_scene1000_best.pt | best@8: val nmse=-12.0100dB
[009/200] train loss=0.017145 nmse=-11.9865dB | val loss=0.017252 nmse=-12.0008dB | 5.5s
[010/200] train loss=0.017050 nmse=-12.0126dB | val loss=0.017256 nmse=-12.0004dB | 5.2s
[011/200] train loss=0.016977 nmse=-12.0306dB | val loss=0.017271 nmse=-11.9968dB | 5.6s
[012/200] train loss=0.016923 nmse=-12.0441dB | val loss=0.017296 nmse=-11.9932dB | 5.3s
[013/200] train loss=0.016876 nmse=-12.0557dB | val loss=0.017233 nmse=-12.0061dB | 5.2s
[014/200] train loss=0.016836 nmse=-12.0663dB | val loss=0.017242 nmse=-12.0034dB | 5.1s
[015/200] train loss=0.016818 nmse=-12.0708dB | val loss=0.017257 nmse=-12.0002dB | 4.9s
[016/200] train loss=0.016787 nmse=-12.0791dB | val loss=0.017279 nmse=-11.9953dB | 5.5s
[017/200] train loss=0.016772 nmse=-12.0856dB | val loss=0.017232 nmse=-12.0070dB | 5.4s
[018/200] train loss=0.016735 nmse=-12.0934dB | val loss=0.017273 nmse=-11.9962dB | 4.4s
[019/200] train loss=0.016707 nmse=-12.0986dB | val loss=0.017254 nmse=-12.0025dB | 5.3s
[020/200] train loss=0.016687 nmse=-12.1045dB | val loss=0.017282 nmse=-11.9948dB | 4.3s
[021/200] train loss=0.016666 nmse=-12.1116dB | val loss=0.017238 nmse=-12.0053dB | 5.2s
[022/200] train loss=0.016624 nmse=-12.1220dB | val loss=0.017266 nmse=-11.9984dB | 5.0s
[023/200] train loss=0.016571 nmse=-12.1348dB | val loss=0.017393 nmse=-11.9670dB | 5.4s
