=== LWM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.034690 nmse=-8.9221dB | val loss=0.017304 nmse=-11.9884dB | 5.2s
  -> saved case1_lwm_scene1000_best.pt | best@1: val nmse=-11.9884dB
[002/200] train loss=0.021718 nmse=-10.9598dB | val loss=0.017304 nmse=-11.9865dB | 5.2s
  -> saved case1_lwm_scene1000_best.pt | best@2: val nmse=-11.9865dB
[003/200] train loss=0.019916 nmse=-11.3352dB | val loss=0.017261 nmse=-11.9989dB | 4.8s
  -> saved case1_lwm_scene1000_best.pt | best@3: val nmse=-11.9989dB
[004/200] train loss=0.018873 nmse=-11.5697dB | val loss=0.017305 nmse=-11.9884dB | 5.2s
[005/200] train loss=0.018194 nmse=-11.7278dB | val loss=0.017249 nmse=-12.0016dB | 5.2s
  -> saved case1_lwm_scene1000_best.pt | best@5: val nmse=-12.0016dB
[006/200] train loss=0.017805 nmse=-11.8246dB | val loss=0.017237 nmse=-12.0040dB | 5.1s
  -> saved case1_lwm_scene1000_best.pt | best@6: val nmse=-12.0040dB
[007/200] train loss=0.017522 nmse=-11.8926dB | val loss=0.017281 nmse=-11.9945dB | 5.1s
[008/200] train loss=0.017339 nmse=-11.9386dB | val loss=0.017235 nmse=-12.0050dB | 5.2s
  -> saved case1_lwm_scene1000_best.pt | best@8: val nmse=-12.0050dB
[009/200] train loss=0.017195 nmse=-11.9748dB | val loss=0.017298 nmse=-11.9895dB | 5.0s
[010/200] train loss=0.017081 nmse=-12.0026dB | val loss=0.017261 nmse=-11.9984dB | 5.3s
[011/200] train loss=0.017008 nmse=-12.0208dB | val loss=0.017281 nmse=-11.9948dB | 5.4s
[012/200] train loss=0.016941 nmse=-12.0393dB | val loss=0.017273 nmse=-11.9968dB | 5.4s
[013/200] train loss=0.016903 nmse=-12.0487dB | val loss=0.017247 nmse=-12.0023dB | 4.9s
[014/200] train loss=0.016864 nmse=-12.0588dB | val loss=0.017298 nmse=-11.9917dB | 4.8s
[015/200] train loss=0.016825 nmse=-12.0697dB | val loss=0.017272 nmse=-11.9955dB | 4.8s
[016/200] train loss=0.016804 nmse=-12.0760dB | val loss=0.017253 nmse=-12.0018dB | 4.9s
[017/200] train loss=0.016760 nmse=-12.0858dB | val loss=0.017226 nmse=-12.0082dB | 5.0s
  -> saved case1_lwm_scene1000_best.pt | best@17: val nmse=-12.0082dB
[018/200] train loss=0.016723 nmse=-12.0940dB | val loss=0.017246 nmse=-12.0038dB | 5.1s
[019/200] train loss=0.016703 nmse=-12.1013dB | val loss=0.017266 nmse=-11.9990dB | 5.1s
[020/200] train loss=0.016670 nmse=-12.1101dB | val loss=0.017261 nmse=-11.9985dB | 4.4s
[021/200] train loss=0.016622 nmse=-12.1209dB | val loss=0.017293 nmse=-11.9915dB | 4.3s
[022/200] train loss=0.016566 nmse=-12.1363dB | val loss=0.017321 nmse=-11.9857dB | 5.5s
[023/200] train loss=0.016509 nmse=-12.1511dB | val loss=0.017342 nmse=-11.9803dB | 5.4s
[024/200] train loss=0.016430 nmse=-12.1714dB | val loss=0.017396 nmse=-11.9671dB | 5.1s
[025/200] train loss=0.016325 nmse=-12.2012dB | val loss=0.017441 nmse=-11.9548dB | 5.5s
