=== lwm_freeze | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[001/200] train loss=0.086770 nmse=-4.9449dB | val loss=0.017270 nmse=-11.9304dB | 14.0s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@1: val nmse=-11.9304dB
[002/200] train loss=0.024232 nmse=-10.4846dB | val loss=0.017207 nmse=-11.9462dB | 12.7s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@2: val nmse=-11.9462dB
[003/200] train loss=0.021830 nmse=-10.9381dB | val loss=0.017187 nmse=-11.9513dB | 16.1s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@3: val nmse=-11.9513dB
[004/200] train loss=0.020317 nmse=-11.2499dB | val loss=0.017095 nmse=-11.9745dB | 14.8s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@4: val nmse=-11.9745dB
[005/200] train loss=0.019300 nmse=-11.4729dB | val loss=0.017082 nmse=-11.9779dB | 14.2s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@5: val nmse=-11.9779dB
[006/200] train loss=0.018552 nmse=-11.6447dB | val loss=0.017050 nmse=-11.9861dB | 14.1s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@6: val nmse=-11.9861dB
[007/200] train loss=0.018051 nmse=-11.7636dB | val loss=0.017054 nmse=-11.9849dB | 14.0s
[008/200] train loss=0.017683 nmse=-11.8530dB | val loss=0.017072 nmse=-11.9805dB | 13.5s
[009/200] train loss=0.017416 nmse=-11.9190dB | val loss=0.017012 nmse=-11.9956dB | 14.9s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@9: val nmse=-11.9956dB
[010/200] train loss=0.017246 nmse=-11.9618dB | val loss=0.017052 nmse=-11.9856dB | 14.0s
[011/200] train loss=0.017078 nmse=-12.0043dB | val loss=0.017007 nmse=-11.9971dB | 14.9s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@11: val nmse=-11.9971dB
[012/200] train loss=0.016973 nmse=-12.0309dB | val loss=0.017033 nmse=-11.9904dB | 13.6s
[013/200] train loss=0.016893 nmse=-12.0514dB | val loss=0.017044 nmse=-11.9875dB | 13.0s
[014/200] train loss=0.016825 nmse=-12.0689dB | val loss=0.017063 nmse=-11.9828dB | 13.3s
[015/200] train loss=0.016774 nmse=-12.0822dB | val loss=0.017039 nmse=-11.9888dB | 14.0s
[016/200] train loss=0.016738 nmse=-12.0916dB | val loss=0.017026 nmse=-11.9921dB | 15.1s
[017/200] train loss=0.016696 nmse=-12.1025dB | val loss=0.017074 nmse=-11.9799dB | 14.0s
[018/200] train loss=0.016674 nmse=-12.1082dB | val loss=0.017034 nmse=-11.9901dB | 14.7s
[019/200] train loss=0.016645 nmse=-12.1158dB | val loss=0.017009 nmse=-11.9966dB | 13.9s
[020/200] train loss=0.016624 nmse=-12.1213dB | val loss=0.017035 nmse=-11.9899dB | 12.8s
[021/200] train loss=0.016612 nmse=-12.1243dB | val loss=0.017013 nmse=-11.9953dB | 13.4s
[022/200] train loss=0.016592 nmse=-12.1297dB | val loss=0.017001 nmse=-11.9984dB | 13.6s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@22: val nmse=-11.9984dB
[023/200] train loss=0.016582 nmse=-12.1323dB | val loss=0.017041 nmse=-11.9883dB | 15.5s
[024/200] train loss=0.016566 nmse=-12.1364dB | val loss=0.017008 nmse=-11.9966dB | 15.2s
[025/200] train loss=0.016556 nmse=-12.1390dB | val loss=0.017030 nmse=-11.9912dB | 13.7s
[026/200] train loss=0.016549 nmse=-12.1408dB | val loss=0.017072 nmse=-11.9804dB | 14.4s
[027/200] train loss=0.016533 nmse=-12.1450dB | val loss=0.016975 nmse=-12.0051dB | 14.9s
  -> saved case1_split3_lwm_freeze_scene1000_best.pt | best@27: val nmse=-12.0051dB
[028/200] train loss=0.016527 nmse=-12.1466dB | val loss=0.017031 nmse=-11.9908dB | 13.4s
[029/200] train loss=0.016515 nmse=-12.1497dB | val loss=0.017059 nmse=-11.9838dB | 13.3s
[030/200] train loss=0.016506 nmse=-12.1522dB | val loss=0.017080 nmse=-11.9784dB | 15.1s
[031/200] train loss=0.016498 nmse=-12.1542dB | val loss=0.017025 nmse=-11.9925dB | 14.3s
[032/200] train loss=0.016494 nmse=-12.1553dB | val loss=0.017112 nmse=-11.9702dB | 13.4s
[033/200] train loss=0.016486 nmse=-12.1573dB | val loss=0.017072 nmse=-11.9804dB | 14.7s
[034/200] train loss=0.016485 nmse=-12.1576dB | val loss=0.017061 nmse=-11.9832dB | 14.1s
[035/200] train loss=0.016473 nmse=-12.1608dB | val loss=0.017022 nmse=-11.9931dB | 13.1s
[036/200] train loss=0.016464 nmse=-12.1631dB | val loss=0.017039 nmse=-11.9887dB | 13.6s
[037/200] train loss=0.016462 nmse=-12.1639dB | val loss=0.017049 nmse=-11.9862dB | 14.4s
[038/200] train loss=0.016458 nmse=-12.1647dB | val loss=0.017046 nmse=-11.9870dB | 14.2s
[039/200] train loss=0.016465 nmse=-12.1629dB | val loss=0.017052 nmse=-11.9855dB | 14.7s
[040/200] train loss=0.016454 nmse=-12.1658dB | val loss=0.016996 nmse=-11.9998dB | 13.4s
[041/200] train loss=0.016450 nmse=-12.1668dB | val loss=0.017027 nmse=-11.9918dB | 13.8s
[042/200] train loss=0.016438 nmse=-12.1700dB | val loss=0.017066 nmse=-11.9818dB | 12.4s
[043/200] train loss=0.016431 nmse=-12.1720dB | val loss=0.017028 nmse=-11.9916dB | 14.0s
[044/200] train loss=0.016428 nmse=-12.1727dB | val loss=0.017103 nmse=-11.9726dB | 14.9s
[045/200] train loss=0.016432 nmse=-12.1716dB | val loss=0.017058 nmse=-11.9840dB | 15.1s
[046/200] train loss=0.016423 nmse=-12.1741dB | val loss=0.017084 nmse=-11.9773dB | 14.7s
[047/200] train loss=0.016421 nmse=-12.1745dB | val loss=0.017067 nmse=-11.9817dB | 13.2s
[048/200] train loss=0.016422 nmse=-12.1742dB | val loss=0.017024 nmse=-11.9927dB | 14.1s
[049/200] train loss=0.016419 nmse=-12.1751dB | val loss=0.017092 nmse=-11.9754dB | 12.4s
[050/200] train loss=0.016412 nmse=-12.1769dB | val loss=0.017056 nmse=-11.9846dB | 13.7s
[051/200] train loss=0.016409 nmse=-12.1777dB | val loss=0.017102 nmse=-11.9728dB | 13.5s
[052/200] train loss=0.016403 nmse=-12.1794dB | val loss=0.017063 nmse=-11.9826dB | 14.6s
[053/200] train loss=0.016409 nmse=-12.1778dB | val loss=0.017076 nmse=-11.9795dB | 14.4s
[054/200] train loss=0.016394 nmse=-12.1818dB | val loss=0.017043 nmse=-11.9877dB | 13.1s
[055/200] train loss=0.016393 nmse=-12.1819dB | val loss=0.017065 nmse=-11.9821dB | 13.8s
[056/200] train loss=0.016393 nmse=-12.1819dB | val loss=0.017062 nmse=-11.9830dB | 14.6s
[057/200] train loss=0.016391 nmse=-12.1825dB | val loss=0.017053 nmse=-11.9852dB | 14.5s
[058/200] train loss=0.016379 nmse=-12.1858dB | val loss=0.017066 nmse=-11.9819dB | 14.5s
