=== LSTM | Case1 SC-wise | scenes=1000 | train=377,856 | val=117,760 ===
[001/200] train loss=0.020307 nmse=-11.2306dB | val loss=0.016505 nmse=-12.1370dB | 7.4s
  -> saved case1_split5_lstm_scene1000_best.pt | best@1: val nmse=-12.1370dB
[002/200] train loss=0.016099 nmse=-12.2392dB | val loss=0.016570 nmse=-12.1199dB | 7.7s
[003/200] train loss=0.015873 nmse=-12.3005dB | val loss=0.016880 nmse=-12.0393dB | 7.8s
[004/200] train loss=0.015444 nmse=-12.4194dB | val loss=0.017539 nmse=-11.8732dB | 7.7s
[005/200] train loss=0.015158 nmse=-12.5007dB | val loss=0.018208 nmse=-11.7105dB | 7.8s
[006/200] train loss=0.014954 nmse=-12.5596dB | val loss=0.018302 nmse=-11.6883dB | 7.8s
[007/200] train loss=0.014775 nmse=-12.6117dB | val loss=0.018673 nmse=-11.6009dB | 7.1s
[008/200] train loss=0.014615 nmse=-12.6590dB | val loss=0.018589 nmse=-11.6206dB | 6.7s
[009/200] train loss=0.014466 nmse=-12.7035dB | val loss=0.018572 nmse=-11.6245dB | 6.9s
[010/200] train loss=0.014268 nmse=-12.7634dB | val loss=0.018950 nmse=-11.5370dB | 7.0s
[011/200] train loss=0.014003 nmse=-12.8447dB | val loss=0.019301 nmse=-11.4573dB | 7.6s
[012/200] train loss=0.013581 nmse=-12.9778dB | val loss=0.019527 nmse=-11.4069dB | 6.9s
[013/200] train loss=0.013120 nmse=-13.1276dB | val loss=0.019787 nmse=-11.3493dB | 7.7s
[014/200] train loss=0.012655 nmse=-13.2845dB | val loss=0.020239 nmse=-11.2513dB | 7.8s
[015/200] train loss=0.012119 nmse=-13.4724dB | val loss=0.020565 nmse=-11.1819dB | 7.4s
[016/200] train loss=0.011589 nmse=-13.6666dB | val loss=0.021236 nmse=-11.0425dB | 7.7s
[017/200] train loss=0.011097 nmse=-13.8551dB | val loss=0.021427 nmse=-11.0036dB | 7.7s
[018/200] train loss=0.010629 nmse=-14.0422dB | val loss=0.022090 nmse=-10.8712dB | 7.5s
[019/200] train loss=0.010193 nmse=-14.2239dB | val loss=0.022052 nmse=-10.8787dB | 7.0s
[020/200] train loss=0.009787 nmse=-14.4005dB | val loss=0.022286 nmse=-10.8328dB | 6.7s
[021/200] train loss=0.009411 nmse=-14.5707dB | val loss=0.022649 nmse=-10.7626dB | 7.1s
[022/200] train loss=0.009032 nmse=-14.7491dB | val loss=0.022670 nmse=-10.7587dB | 7.2s
[023/200] train loss=0.008641 nmse=-14.9417dB | val loss=0.022877 nmse=-10.7191dB | 7.2s
[024/200] train loss=0.008218 nmse=-15.1596dB | val loss=0.023019 nmse=-10.6923dB | 7.4s
[025/200] train loss=0.007790 nmse=-15.3917dB | val loss=0.023415 nmse=-10.6183dB | 7.8s
[026/200] train loss=0.007389 nmse=-15.6215dB | val loss=0.023425 nmse=-10.6164dB | 7.2s
[027/200] train loss=0.007016 nmse=-15.8460dB | val loss=0.023695 nmse=-10.5665dB | 6.7s
[028/200] train loss=0.006691 nmse=-16.0525dB | val loss=0.023743 nmse=-10.5578dB | 7.6s
[029/200] train loss=0.006400 nmse=-16.2453dB | val loss=0.023911 nmse=-10.5272dB | 7.4s
[030/200] train loss=0.006130 nmse=-16.4323dB | val loss=0.024122 nmse=-10.4889dB | 7.0s
[031/200] train loss=0.005892 nmse=-16.6043dB | val loss=0.024258 nmse=-10.4646dB | 6.6s
[032/200] train loss=0.005669 nmse=-16.7723dB | val loss=0.024150 nmse=-10.4839dB | 7.6s
[033/200] train loss=0.005465 nmse=-16.9310dB | val loss=0.024369 nmse=-10.4448dB | 7.0s
[034/200] train loss=0.005267 nmse=-17.0912dB | val loss=0.024585 nmse=-10.4064dB | 6.9s
[035/200] train loss=0.005094 nmse=-17.2368dB | val loss=0.024477 nmse=-10.4255dB | 6.6s
[036/200] train loss=0.004926 nmse=-17.3821dB | val loss=0.024779 nmse=-10.3724dB | 7.4s
[037/200] train loss=0.004772 nmse=-17.5197dB | val loss=0.024894 nmse=-10.3522dB | 7.0s
[038/200] train loss=0.004637 nmse=-17.6450dB | val loss=0.025051 nmse=-10.3248dB | 7.3s
[039/200] train loss=0.004493 nmse=-17.7813dB | val loss=0.024848 nmse=-10.3603dB | 7.8s
[040/200] train loss=0.004371 nmse=-17.9010dB | val loss=0.024970 nmse=-10.3390dB | 7.8s
[041/200] train loss=0.004242 nmse=-18.0315dB | val loss=0.025049 nmse=-10.3252dB | 6.8s
[042/200] train loss=0.004127 nmse=-18.1506dB | val loss=0.025094 nmse=-10.3175dB | 6.9s
[043/200] train loss=0.004006 nmse=-18.2801dB | val loss=0.025218 nmse=-10.2961dB | 7.5s
[044/200] train loss=0.003903 nmse=-18.3935dB | val loss=0.024951 nmse=-10.3423dB | 7.3s
[045/200] train loss=0.003800 nmse=-18.5095dB | val loss=0.025053 nmse=-10.3245dB | 6.7s
[046/200] train loss=0.003708 nmse=-18.6155dB | val loss=0.024792 nmse=-10.3700dB | 7.4s
[047/200] train loss=0.003606 nmse=-18.7371dB | val loss=0.025091 nmse=-10.3180dB | 7.7s
[048/200] train loss=0.003530 nmse=-18.8292dB | val loss=0.025022 nmse=-10.3299dB | 7.7s
[049/200] train loss=0.003433 nmse=-18.9507dB | val loss=0.025060 nmse=-10.3233dB | 7.6s
[050/200] train loss=0.003350 nmse=-19.0562dB | val loss=0.024889 nmse=-10.3530dB | 7.4s
[051/200] train loss=0.003272 nmse=-19.1591dB | val loss=0.025218 nmse=-10.2960dB | 7.4s
[052/200] train loss=0.003184 nmse=-19.2773dB | val loss=0.025005 nmse=-10.3329dB | 7.4s
[053/200] train loss=0.003102 nmse=-19.3910dB | val loss=0.024917 nmse=-10.3482dB | 7.1s
[054/200] train loss=0.003033 nmse=-19.4882dB | val loss=0.025061 nmse=-10.3231dB | 7.0s
[055/200] train loss=0.002955 nmse=-19.6021dB | val loss=0.024967 nmse=-10.3394dB | 7.1s
[056/200] train loss=0.002871 nmse=-19.7266dB | val loss=0.025105 nmse=-10.3156dB | 7.7s
[057/200] train loss=0.002804 nmse=-19.8299dB | val loss=0.025173 nmse=-10.3037dB | 7.1s
[058/200] train loss=0.002734 nmse=-19.9398dB | val loss=0.024967 nmse=-10.3395dB | 7.3s
[059/200] train loss=0.002667 nmse=-20.0467dB | val loss=0.025058 nmse=-10.3237dB | 7.8s
[060/200] train loss=0.002598 nmse=-20.1599dB | val loss=0.025266 nmse=-10.2879dB | 6.8s
[061/200] train loss=0.002543 nmse=-20.2537dB | val loss=0.025015 nmse=-10.3311dB | 6.7s
[062/200] train loss=0.002481 nmse=-20.3600dB | val loss=0.025060 nmse=-10.3233dB | 7.0s
[063/200] train loss=0.002422 nmse=-20.4652dB | val loss=0.025023 nmse=-10.3298dB | 7.3s
[064/200] train loss=0.002372 nmse=-20.5562dB | val loss=0.024971 nmse=-10.3389dB | 7.6s
[065/200] train loss=0.002320 nmse=-20.6524dB | val loss=0.025022 nmse=-10.3300dB | 7.3s
[066/200] train loss=0.002276 nmse=-20.7361dB | val loss=0.024796 nmse=-10.3693dB | 6.9s
[067/200] train loss=0.002227 nmse=-20.8289dB | val loss=0.024933 nmse=-10.3454dB | 7.4s
[068/200] train loss=0.002184 nmse=-20.9147dB | val loss=0.024971 nmse=-10.3388dB | 7.2s
[069/200] train loss=0.002134 nmse=-21.0142dB | val loss=0.024863 nmse=-10.3576dB | 7.3s
[070/200] train loss=0.002097 nmse=-21.0913dB | val loss=0.024862 nmse=-10.3577dB | 7.6s
[071/200] train loss=0.002059 nmse=-21.1695dB | val loss=0.024957 nmse=-10.3413dB | 7.7s
[072/200] train loss=0.002013 nmse=-21.2676dB | val loss=0.024947 nmse=-10.3429dB | 7.3s
[073/200] train loss=0.001985 nmse=-21.3295dB | val loss=0.024776 nmse=-10.3729dB | 6.7s
[074/200] train loss=0.001946 nmse=-21.4164dB | val loss=0.024830 nmse=-10.3634dB | 7.8s
[075/200] train loss=0.001913 nmse=-21.4900dB | val loss=0.024771 nmse=-10.3737dB | 7.6s
[076/200] train loss=0.001879 nmse=-21.5683dB | val loss=0.024763 nmse=-10.3752dB | 7.4s
[077/200] train loss=0.001852 nmse=-21.6295dB | val loss=0.024825 nmse=-10.3642dB | 7.4s
[078/200] train loss=0.001818 nmse=-21.7117dB | val loss=0.024723 nmse=-10.3821dB | 7.0s
[079/200] train loss=0.001786 nmse=-21.7872dB | val loss=0.024760 nmse=-10.3757dB | 7.0s
[080/200] train loss=0.001766 nmse=-21.8384dB | val loss=0.024784 nmse=-10.3715dB | 7.1s
[081/200] train loss=0.001732 nmse=-21.9216dB | val loss=0.024726 nmse=-10.3816dB | 7.1s
[082/200] train loss=0.001706 nmse=-21.9864dB | val loss=0.024933 nmse=-10.3454dB | 7.0s
[083/200] train loss=0.001680 nmse=-22.0539dB | val loss=0.024733 nmse=-10.3803dB | 7.9s
[084/200] train loss=0.001666 nmse=-22.0902dB | val loss=0.024550 nmse=-10.4126dB | 7.8s
[085/200] train loss=0.001634 nmse=-22.1748dB | val loss=0.024645 nmse=-10.3959dB | 7.1s
[086/200] train loss=0.001609 nmse=-22.2423dB | val loss=0.024818 nmse=-10.3656dB | 7.1s
[087/200] train loss=0.001585 nmse=-22.3070dB | val loss=0.024685 nmse=-10.3889dB | 6.9s
[088/200] train loss=0.001561 nmse=-22.3734dB | val loss=0.024608 nmse=-10.4024dB | 7.8s
[089/200] train loss=0.001539 nmse=-22.4345dB | val loss=0.024611 nmse=-10.4018dB | 7.1s
[090/200] train loss=0.001515 nmse=-22.5025dB | val loss=0.024578 nmse=-10.4076dB | 7.4s
[091/200] train loss=0.001494 nmse=-22.5645dB | val loss=0.024733 nmse=-10.3803dB | 7.5s
[092/200] train loss=0.001473 nmse=-22.6247dB | val loss=0.024610 nmse=-10.4020dB | 7.5s
[093/200] train loss=0.001448 nmse=-22.6979dB | val loss=0.024585 nmse=-10.4064dB | 7.6s
[094/200] train loss=0.001430 nmse=-22.7549dB | val loss=0.024604 nmse=-10.4031dB | 7.2s
[095/200] train loss=0.001408 nmse=-22.8204dB | val loss=0.024600 nmse=-10.4038dB | 7.4s
[096/200] train loss=0.001389 nmse=-22.8785dB | val loss=0.024513 nmse=-10.4191dB | 7.8s
[097/200] train loss=0.001368 nmse=-22.9463dB | val loss=0.024477 nmse=-10.4255dB | 7.5s
[098/200] train loss=0.001350 nmse=-23.0032dB | val loss=0.024422 nmse=-10.4354dB | 7.8s
[099/200] train loss=0.001330 nmse=-23.0685dB | val loss=0.024613 nmse=-10.4015dB | 7.8s
[100/200] train loss=0.001310 nmse=-23.1327dB | val loss=0.024647 nmse=-10.3955dB | 7.1s
[101/200] train loss=0.001294 nmse=-23.1874dB | val loss=0.024653 nmse=-10.3944dB | 7.3s
[102/200] train loss=0.001276 nmse=-23.2474dB | val loss=0.024522 nmse=-10.4177dB | 7.7s
