=== lwm_finetune | Case1 SC-wise | scenes=1000 | train=377,856 | val=117,760 ===
[001/200] train loss=0.019161 nmse=-11.4828dB | val loss=0.016582 nmse=-12.1167dB | 40.9s
  -> saved case1_split5_lwm_finetune_scene1000_best.pt | best@1: val nmse=-12.1167dB
[002/200] train loss=0.016044 nmse=-12.2539dB | val loss=0.016634 nmse=-12.1032dB | 41.5s
[003/200] train loss=0.015864 nmse=-12.3030dB | val loss=0.016792 nmse=-12.0622dB | 42.6s
[004/200] train loss=0.015655 nmse=-12.3606dB | val loss=0.017004 nmse=-12.0076dB | 41.0s
[005/200] train loss=0.015348 nmse=-12.4467dB | val loss=0.017235 nmse=-11.9491dB | 41.2s
[006/200] train loss=0.014939 nmse=-12.5639dB | val loss=0.017393 nmse=-11.9094dB | 41.1s
[007/200] train loss=0.014485 nmse=-12.6979dB | val loss=0.017626 nmse=-11.8516dB | 40.4s
[008/200] train loss=0.014040 nmse=-12.8333dB | val loss=0.018127 nmse=-11.7300dB | 42.0s
[009/200] train loss=0.013586 nmse=-12.9760dB | val loss=0.018360 nmse=-11.6745dB | 39.5s
[010/200] train loss=0.013125 nmse=-13.1262dB | val loss=0.018804 nmse=-11.5707dB | 41.6s
[011/200] train loss=0.012647 nmse=-13.2871dB | val loss=0.019040 nmse=-11.5165dB | 40.6s
[012/200] train loss=0.012160 nmse=-13.4576dB | val loss=0.019056 nmse=-11.5128dB | 41.8s
[013/200] train loss=0.011679 nmse=-13.6328dB | val loss=0.019583 nmse=-11.3943dB | 40.8s
[014/200] train loss=0.011229 nmse=-13.8035dB | val loss=0.019580 nmse=-11.3950dB | 40.1s
[015/200] train loss=0.010775 nmse=-13.9831dB | val loss=0.019774 nmse=-11.3523dB | 42.5s
[016/200] train loss=0.010321 nmse=-14.1698dB | val loss=0.020333 nmse=-11.2312dB | 39.3s
[017/200] train loss=0.009905 nmse=-14.3486dB | val loss=0.020660 nmse=-11.1618dB | 40.6s
[018/200] train loss=0.009496 nmse=-14.5316dB | val loss=0.020720 nmse=-11.1492dB | 41.2s
[019/200] train loss=0.009113 nmse=-14.7104dB | val loss=0.020968 nmse=-11.0976dB | 41.5s
