=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=377,856 | val=117,760 ===
[001/200] train loss=0.020388 nmse=-11.2133dB | val loss=0.016528 nmse=-12.1309dB | 40.9s
  -> saved case1_split5_lwm_fromScratch_scene1000_best.pt | best@1: val nmse=-12.1309dB
[002/200] train loss=0.016476 nmse=-12.1384dB | val loss=0.016531 nmse=-12.1301dB | 39.4s
[003/200] train loss=0.016255 nmse=-12.1971dB | val loss=0.016543 nmse=-12.1270dB | 41.3s
[004/200] train loss=0.016060 nmse=-12.2497dB | val loss=0.016571 nmse=-12.1196dB | 41.6s
[005/200] train loss=0.015509 nmse=-12.4013dB | val loss=0.016835 nmse=-12.0509dB | 43.4s
[006/200] train loss=0.014754 nmse=-12.6180dB | val loss=0.017627 nmse=-11.8514dB | 42.2s
[007/200] train loss=0.013603 nmse=-12.9706dB | val loss=0.019600 nmse=-11.3906dB | 41.1s
[008/200] train loss=0.011886 nmse=-13.5566dB | val loss=0.021234 nmse=-11.0429dB | 40.6s
[009/200] train loss=0.010487 nmse=-14.1004dB | val loss=0.022076 nmse=-10.8739dB | 42.7s
[010/200] train loss=0.009365 nmse=-14.5918dB | val loss=0.022778 nmse=-10.7381dB | 42.1s
[011/200] train loss=0.008456 nmse=-15.0353dB | val loss=0.023290 nmse=-10.6415dB | 43.2s
[012/200] train loss=0.007783 nmse=-15.3957dB | val loss=0.023918 nmse=-10.5259dB | 41.0s
[013/200] train loss=0.007273 nmse=-15.6897dB | val loss=0.023979 nmse=-10.5148dB | 42.2s
[014/200] train loss=0.006859 nmse=-15.9443dB | val loss=0.024598 nmse=-10.4042dB | 42.0s
[015/200] train loss=0.006506 nmse=-16.1740dB | val loss=0.024235 nmse=-10.4688dB | 42.1s
[016/200] train loss=0.006202 nmse=-16.3816dB | val loss=0.024753 nmse=-10.3770dB | 41.6s
[017/200] train loss=0.005942 nmse=-16.5680dB | val loss=0.024746 nmse=-10.3780dB | 41.2s
[018/200] train loss=0.005693 nmse=-16.7537dB | val loss=0.025427 nmse=-10.2602dB | 40.9s
[019/200] train loss=0.005474 nmse=-16.9241dB | val loss=0.025887 nmse=-10.1823dB | 42.5s
[020/200] train loss=0.005251 nmse=-17.1046dB | val loss=0.025954 nmse=-10.1712dB | 42.7s
[021/200] train loss=0.005030 nmse=-17.2914dB | val loss=0.026483 nmse=-10.0835dB | 39.4s
[022/200] train loss=0.004817 nmse=-17.4796dB | val loss=0.026337 nmse=-10.1076dB | 44.0s
[023/200] train loss=0.004611 nmse=-17.6687dB | val loss=0.026786 nmse=-10.0340dB | 42.3s
[024/200] train loss=0.004433 nmse=-17.8404dB | val loss=0.026870 nmse=-10.0205dB | 40.9s
[025/200] train loss=0.004269 nmse=-18.0042dB | val loss=0.027121 nmse=-9.9801dB | 41.3s
[026/200] train loss=0.004122 nmse=-18.1555dB | val loss=0.027041 nmse=-9.9929dB | 40.8s
[027/200] train loss=0.003981 nmse=-18.3075dB | val loss=0.026835 nmse=-10.0262dB | 40.8s
[028/200] train loss=0.003864 nmse=-18.4362dB | val loss=0.026925 nmse=-10.0116dB | 40.1s
[029/200] train loss=0.003751 nmse=-18.5661dB | val loss=0.027080 nmse=-9.9866dB | 41.1s
[030/200] train loss=0.003633 nmse=-18.7047dB | val loss=0.027620 nmse=-9.9009dB | 42.2s
[031/200] train loss=0.003524 nmse=-18.8367dB | val loss=0.027208 nmse=-9.9662dB | 42.2s
[032/200] train loss=0.003415 nmse=-18.9736dB | val loss=0.027282 nmse=-9.9544dB | 40.8s
[033/200] train loss=0.003316 nmse=-19.1009dB | val loss=0.027138 nmse=-9.9774dB | 42.2s
[034/200] train loss=0.003201 nmse=-19.2538dB | val loss=0.027654 nmse=-9.8956dB | 40.2s
[035/200] train loss=0.003099 nmse=-19.3944dB | val loss=0.027417 nmse=-9.9329dB | 42.1s
[036/200] train loss=0.003001 nmse=-19.5338dB | val loss=0.027715 nmse=-9.8860dB | 41.3s
[037/200] train loss=0.002887 nmse=-19.7021dB | val loss=0.027365 nmse=-9.9411dB | 41.6s
[038/200] train loss=0.002799 nmse=-19.8367dB | val loss=0.027778 nmse=-9.8761dB | 40.1s
[039/200] train loss=0.002704 nmse=-19.9864dB | val loss=0.027881 nmse=-9.8601dB | 41.7s
[040/200] train loss=0.002628 nmse=-20.1114dB | val loss=0.027769 nmse=-9.8775dB | 42.0s
[041/200] train loss=0.002559 nmse=-20.2262dB | val loss=0.028017 nmse=-9.8390dB | 39.7s
[042/200] train loss=0.002474 nmse=-20.3728dB | val loss=0.027731 nmse=-9.8834dB | 40.6s
[043/200] train loss=0.002422 nmse=-20.4654dB | val loss=0.027836 nmse=-9.8671dB | 42.7s
[044/200] train loss=0.002350 nmse=-20.5968dB | val loss=0.027884 nmse=-9.8596dB | 41.8s
[045/200] train loss=0.002297 nmse=-20.6961dB | val loss=0.028260 nmse=-9.8014dB | 40.6s
[046/200] train loss=0.002236 nmse=-20.8131dB | val loss=0.028095 nmse=-9.8269dB | 41.5s
[047/200] train loss=0.002183 nmse=-20.9161dB | val loss=0.028008 nmse=-9.8403dB | 41.8s
[048/200] train loss=0.002122 nmse=-21.0386dB | val loss=0.028145 nmse=-9.8191dB | 42.2s
[049/200] train loss=0.002078 nmse=-21.1314dB | val loss=0.028027 nmse=-9.8374dB | 39.5s
[050/200] train loss=0.002044 nmse=-21.2023dB | val loss=0.028267 nmse=-9.8003dB | 41.0s
[051/200] train loss=0.001977 nmse=-21.3478dB | val loss=0.027981 nmse=-9.8446dB | 41.4s
[052/200] train loss=0.001948 nmse=-21.4111dB | val loss=0.027970 nmse=-9.8462dB | 42.3s
[053/200] train loss=0.001893 nmse=-21.5359dB | val loss=0.028594 nmse=-9.7504dB | 41.4s
[054/200] train loss=0.001861 nmse=-21.6086dB | val loss=0.028291 nmse=-9.7967dB | 40.3s
[055/200] train loss=0.001819 nmse=-21.7079dB | val loss=0.028222 nmse=-9.8072dB | 38.8s
