[01/500] train loss=0.206032, nmse(dB)=-1.3329 | val loss=0.120154, nmse(dB)=-3.5778 | 0.9s
  ↳ saved bestc_channel_only_finetune.pt | best@1: val loss=0.120154, val nmse(dB)=-3.5778
[02/500] train loss=0.068045, nmse(dB)=-6.4660 | val loss=0.032988, nmse(dB)=-9.6574 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@2: val loss=0.032988, val nmse(dB)=-9.6574
[03/500] train loss=0.022818, nmse(dB)=-11.5485 | val loss=0.020136, nmse(dB)=-12.7466 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@3: val loss=0.020136, val nmse(dB)=-12.7466
[04/500] train loss=0.017583, nmse(dB)=-13.1866 | val loss=0.019075, nmse(dB)=-13.2217 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@4: val loss=0.019075, val nmse(dB)=-13.2217
[05/500] train loss=0.017028, nmse(dB)=-13.4367 | val loss=0.019052, nmse(dB)=-13.2251 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@5: val loss=0.019052, val nmse(dB)=-13.2251
[06/500] train loss=0.016946, nmse(dB)=-13.4743 | val loss=0.019065, nmse(dB)=-13.2350 | 0.7s
[07/500] train loss=0.016962, nmse(dB)=-13.4885 | val loss=0.018976, nmse(dB)=-13.2698 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@7: val loss=0.018976, val nmse(dB)=-13.2698
[08/500] train loss=0.016887, nmse(dB)=-13.4998 | val loss=0.018967, nmse(dB)=-13.2827 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@8: val loss=0.018967, val nmse(dB)=-13.2827
[09/500] train loss=0.016911, nmse(dB)=-13.5096 | val loss=0.018908, nmse(dB)=-13.2997 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@9: val loss=0.018908, val nmse(dB)=-13.2997
[10/500] train loss=0.016878, nmse(dB)=-13.5205 | val loss=0.018954, nmse(dB)=-13.2846 | 0.7s
[11/500] train loss=0.017029, nmse(dB)=-13.4875 | val loss=0.018990, nmse(dB)=-13.2643 | 0.7s
[12/500] train loss=0.016887, nmse(dB)=-13.5309 | val loss=0.018986, nmse(dB)=-13.2748 | 0.7s
[13/500] train loss=0.016873, nmse(dB)=-13.5329 | val loss=0.018982, nmse(dB)=-13.2718 | 0.7s
[14/500] train loss=0.016912, nmse(dB)=-13.5380 | val loss=0.018935, nmse(dB)=-13.2908 | 0.7s
[15/500] train loss=0.016933, nmse(dB)=-13.5062 | val loss=0.018969, nmse(dB)=-13.2765 | 0.7s
[16/500] train loss=0.016930, nmse(dB)=-13.5081 | val loss=0.018982, nmse(dB)=-13.2571 | 0.7s
[17/500] train loss=0.016862, nmse(dB)=-13.5270 | val loss=0.019020, nmse(dB)=-13.2524 | 0.7s
[18/500] train loss=0.016879, nmse(dB)=-13.5307 | val loss=0.018972, nmse(dB)=-13.2732 | 0.7s
[19/500] train loss=0.016855, nmse(dB)=-13.5322 | val loss=0.018947, nmse(dB)=-13.2922 | 0.7s
[20/500] train loss=0.016843, nmse(dB)=-13.5438 | val loss=0.018983, nmse(dB)=-13.2786 | 0.7s
[21/500] train loss=0.016892, nmse(dB)=-13.5122 | val loss=0.018930, nmse(dB)=-13.2794 | 0.7s
[22/500] train loss=0.016883, nmse(dB)=-13.5370 | val loss=0.019032, nmse(dB)=-13.2566 | 0.7s
[23/500] train loss=0.016921, nmse(dB)=-13.5353 | val loss=0.018947, nmse(dB)=-13.2862 | 0.7s
[24/500] train loss=0.016931, nmse(dB)=-13.5171 | val loss=0.018995, nmse(dB)=-13.2675 | 0.7s
[25/500] train loss=0.016843, nmse(dB)=-13.5434 | val loss=0.018948, nmse(dB)=-13.2854 | 0.7s
[26/500] train loss=0.016885, nmse(dB)=-13.5311 | val loss=0.019003, nmse(dB)=-13.2742 | 0.7s
[27/500] train loss=0.016965, nmse(dB)=-13.5194 | val loss=0.019017, nmse(dB)=-13.2505 | 0.7s
[28/500] train loss=0.016843, nmse(dB)=-13.5366 | val loss=0.018929, nmse(dB)=-13.2967 | 0.7s
[29/500] train loss=0.016856, nmse(dB)=-13.5545 | val loss=0.018987, nmse(dB)=-13.2651 | 0.7s
[30/500] train loss=0.016767, nmse(dB)=-13.5608 | val loss=0.018904, nmse(dB)=-13.2945 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@30: val loss=0.018904, val nmse(dB)=-13.2945
[31/500] train loss=0.016889, nmse(dB)=-13.5348 | val loss=0.018925, nmse(dB)=-13.2863 | 0.7s
[32/500] train loss=0.016824, nmse(dB)=-13.5427 | val loss=0.018965, nmse(dB)=-13.2771 | 0.7s
[33/500] train loss=0.016888, nmse(dB)=-13.5477 | val loss=0.018927, nmse(dB)=-13.2922 | 0.7s
[34/500] train loss=0.016847, nmse(dB)=-13.5289 | val loss=0.018957, nmse(dB)=-13.2794 | 0.7s
[35/500] train loss=0.016870, nmse(dB)=-13.5375 | val loss=0.018956, nmse(dB)=-13.2810 | 0.7s
