[01/500] train loss=0.210395, nmse(dB)=-1.2158 | val loss=0.122748, nmse(dB)=-3.4855 | 0.9s
  ↳ saved bestc_channel_only_finetune.pt | best@1: val loss=0.122748, val nmse(dB)=-3.4855
[02/500] train loss=0.066961, nmse(dB)=-6.5684 | val loss=0.031528, nmse(dB)=-9.8973 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@2: val loss=0.031528, val nmse(dB)=-9.8973
[03/500] train loss=0.021921, nmse(dB)=-11.7509 | val loss=0.020043, nmse(dB)=-12.7863 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@3: val loss=0.020043, val nmse(dB)=-12.7863
[04/500] train loss=0.017442, nmse(dB)=-13.2345 | val loss=0.018968, nmse(dB)=-13.2670 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@4: val loss=0.018968, val nmse(dB)=-13.2670
[05/500] train loss=0.017027, nmse(dB)=-13.4301 | val loss=0.018913, nmse(dB)=-13.3071 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@5: val loss=0.018913, val nmse(dB)=-13.3071
[06/500] train loss=0.017066, nmse(dB)=-13.4384 | val loss=0.018939, nmse(dB)=-13.2939 | 0.7s
[07/500] train loss=0.017019, nmse(dB)=-13.4358 | val loss=0.018893, nmse(dB)=-13.3101 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@7: val loss=0.018893, val nmse(dB)=-13.3101
[08/500] train loss=0.016975, nmse(dB)=-13.4647 | val loss=0.018932, nmse(dB)=-13.2951 | 0.7s
[09/500] train loss=0.016961, nmse(dB)=-13.4597 | val loss=0.018911, nmse(dB)=-13.2938 | 0.7s
[10/500] train loss=0.017059, nmse(dB)=-13.4552 | val loss=0.018889, nmse(dB)=-13.3081 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@10: val loss=0.018889, val nmse(dB)=-13.3081
[11/500] train loss=0.016934, nmse(dB)=-13.4762 | val loss=0.018940, nmse(dB)=-13.2960 | 0.7s
[12/500] train loss=0.017023, nmse(dB)=-13.4654 | val loss=0.018898, nmse(dB)=-13.3025 | 0.7s
[13/500] train loss=0.016932, nmse(dB)=-13.4861 | val loss=0.018940, nmse(dB)=-13.2826 | 0.7s
[14/500] train loss=0.016941, nmse(dB)=-13.4760 | val loss=0.018906, nmse(dB)=-13.2982 | 0.7s
[15/500] train loss=0.016926, nmse(dB)=-13.4885 | val loss=0.018919, nmse(dB)=-13.3026 | 0.7s
[16/500] train loss=0.016968, nmse(dB)=-13.5026 | val loss=0.018994, nmse(dB)=-13.2760 | 0.7s
[17/500] train loss=0.016960, nmse(dB)=-13.4811 | val loss=0.018867, nmse(dB)=-13.3098 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@17: val loss=0.018867, val nmse(dB)=-13.3098
[18/500] train loss=0.017028, nmse(dB)=-13.4554 | val loss=0.018956, nmse(dB)=-13.2800 | 0.7s
[19/500] train loss=0.016944, nmse(dB)=-13.4995 | val loss=0.018943, nmse(dB)=-13.2907 | 0.7s
[20/500] train loss=0.016885, nmse(dB)=-13.5020 | val loss=0.018957, nmse(dB)=-13.2891 | 0.7s
[21/500] train loss=0.016889, nmse(dB)=-13.5034 | val loss=0.018882, nmse(dB)=-13.2944 | 0.7s
[22/500] train loss=0.016930, nmse(dB)=-13.4892 | val loss=0.018995, nmse(dB)=-13.2842 | 0.7s
[23/500] train loss=0.016948, nmse(dB)=-13.4952 | val loss=0.018915, nmse(dB)=-13.3033 | 0.7s
[24/500] train loss=0.016899, nmse(dB)=-13.4962 | val loss=0.018980, nmse(dB)=-13.2693 | 0.7s
[25/500] train loss=0.016854, nmse(dB)=-13.5268 | val loss=0.019026, nmse(dB)=-13.2752 | 0.7s
[26/500] train loss=0.016938, nmse(dB)=-13.5040 | val loss=0.018856, nmse(dB)=-13.3112 | 0.7s
  ↳ saved bestc_channel_only_finetune.pt | best@26: val loss=0.018856, val nmse(dB)=-13.3112
[27/500] train loss=0.016901, nmse(dB)=-13.5077 | val loss=0.019077, nmse(dB)=-13.2223 | 0.7s
[28/500] train loss=0.016831, nmse(dB)=-13.5328 | val loss=0.018989, nmse(dB)=-13.2823 | 0.7s
[29/500] train loss=0.016814, nmse(dB)=-13.5394 | val loss=0.018885, nmse(dB)=-13.2982 | 0.7s
[30/500] train loss=0.016865, nmse(dB)=-13.5200 | val loss=0.018916, nmse(dB)=-13.2918 | 0.7s
[31/500] train loss=0.016943, nmse(dB)=-13.5037 | val loss=0.018958, nmse(dB)=-13.2745 | 0.7s
